MATCH_ID,DATE,TIME,STAGE,COMPLETED,WINNER_TEAM_ID,HOME_TEAM_ID,AWAY_TEAM_ID,HOME_GOALS,AWAY_GOALS,HOME_YELLOW_CARDS,AWAY_YELLOW_CARDS,HOME_OG,AWAY_OG,HOME_RED_CARDS,AWAY_RED_CARDS,NOTES
A1 [1],20/11/2022,19:00,GROUP,Y,ECU,QAT,ECU,0,2,4,0,,,,,
B1 [3],21/11/2022,16:00,GROUP,,,ENG,IRN,,,,,,,,,
A2 [2],21/11/2022,19:00,GROUP,,,SEN,NLD,,,,,,,,,
B2 [4],21/11/2022,22:00,GROUP,,,USA,WAL,,,,,,,,,
C1 [8],22/11/2022,13:00,GROUP,,,ARG,SAU,,,,,,,,,
D1 [6],22/11/2022,16:00,GROUP,,,DNK,TUN,,,,,,,,,
C2 [7],22/11/2022,19:00,GROUP,,,MEX,POL,,,,,,,,,
D2 [5],22/11/2022,22:00,GROUP,,,FRA,AUS,,,,,,,,,
F1 [12],23/11/2022,13:00,GROUP,,,MAR,HRV,,,,,,,,,
E1 [11],23/11/2022,16:00,GROUP,,,DEU,JPN,,,,,,,,,
E2 [10],23/11/2022,19:00,GROUP,,,ESP,CRI,,,,,,,,,
F2 [9],23/11/2022,22:00,GROUP,,,BEL,CAN,,,,,,,,,
G1 [13],24/11/2022,13:00,GROUP,,,CHE,CMR,,,,,,,,,
H1 [14],24/11/2022,16:00,GROUP,,,URY,KOR,,,,,,,,,
H2 [15],24/11/2022,19:00,GROUP,,,PRT,GHA,,,,,,,,,
G2 [16],24/11/2022,22:00,GROUP,,,BRA,SRB,,,,,,,,,
B3 [17],25/11/2022,13:00,GROUP,,,WAL,IRN,,,,,,,,,
A3 [18],25/11/2022,16:00,GROUP,,,QAT,SEN,,,,,,,,,
A4 [19],25/11/2022,19:00,GROUP,,,NLD,ECU,,,,,,,,,
B4 [20],25/11/2022,22:00,GROUP,,,ENG,USA,,,,,,,,,
D3 [21],26/11/2022,13:00,GROUP,,,TUN,AUS,,,,,,,,,
C3 [22],26/11/2022,16:00,GROUP,,,POL,SAU,,,,,,,,,
D4 [23],26/11/2022,19:00,GROUP,,,FRA,DNK,,,,,,,,,
C4 [24],26/11/2022,22:00,GROUP,,,ARG,MEX,,,,,,,,,
E3 [25],27/11/2022,13:00,GROUP,,,JPN,CRI,,,,,,,,,
F3 [26],27/11/2022,16:00,GROUP,,,BEL,MAR,,,,,,,,,
F4 [27],27/11/2022,19:00,GROUP,,,HRV,CAN,,,,,,,,,
E4 [28],27/11/2022,22:00,GROUP,,,ESP,DEU,,,,,,,,,
G3 [29],28/11/2022,13:00,GROUP,,,CMR,SRB,,,,,,,,,
H3 [30],28/11/2022,16:00,GROUP,,,KOR,GHA,,,,,,,,,
G4 [31],28/11/2022,19:00,GROUP,,,BRA,CHE,,,,,,,,,
H4 [32],28/11/2022,22:00,GROUP,,,PRT,URY,,,,,,,,,
A5 [35],29/11/2022,18:00,GROUP,,,ECU,SEN,,,,,,,,,
A6 [36],29/11/2022,18:00,GROUP,,,NLD,QAT,,,,,,,,,
B5 [33],29/11/2022,22:00,GROUP,,,WAL,ENG,,,,,,,,,
B6 [34],29/11/2022,22:00,GROUP,,,IRN,USA,,,,,,,,,
D5 [37],30/11/2022,18:00,GROUP,,,AUS,DNK,,,,,,,,,
D6 [38],30/11/2022,18:00,GROUP,,,TUN,FRA,,,,,,,,,
C5 [39],30/11/2022,22:00,GROUP,,,POL,ARG,,,,,,,,,
C6 [40],30/11/2022,22:00,GROUP,,,SAU,MEX,,,,,,,,,
F5 [41],01/12/2022,18:00,GROUP,,,HRV,BEL,,,,,,,,,
F6 [42],01/12/2022,18:00,GROUP,,,CAN,MAR,,,,,,,,,
E5 [43],01/12/2022,22:00,GROUP,,,JPN,ESP,,,,,,,,,
E6 [44],01/12/2022,22:00,GROUP,,,CRI,DEU,,,,,,,,,
H5 [45],02/12/2022,18:00,GROUP,,,GHA,URY,,,,,,,,,
H6 [46],02/12/2022,18:00,GROUP,,,KOR,PRT,,,,,,,,,
G5 [47],02/12/2022,22:00,GROUP,,,SRB,CHE,,,,,,,,,
G6 [48],02/12/2022,22:00,GROUP,,,CMR,BRA,,,,,,,,,
R16_1 [49],03/12/2022,18:00,KO,,,,,,,,,,,,,Winner A vs Runner-Up B
R16_2 [50],03/12/2022,22:00,KO,,,,,,,,,,,,,Winner C vs Runner-Up D
R16_4 [52],04/12/2022,18:00,KO,,,,,,,,,,,,,Winner D vs Runner-Up C
R16_3 [51],04/12/2022,22:00,KO,,,,,,,,,,,,,Winner B vs Runner-Up A
R16_5 [53],05/12/2022,18:00,KO,,,,,,,,,,,,,Winner E vs Runner-Up F
R16_6 [54],05/12/2022,22:00,KO,,,,,,,,,,,,,Winner G vs Runner-Up H
R16_7 [55],06/12/2022,18:00,KO,,,,,,,,,,,,,Winner F vs Runner-Up E
R16_8 [56],06/12/2022,22:00,KO,,,,,,,,,,,,,Winner H vs Runner-Up G
QF2 [58],09/12/2022,18:00,KO,,,,,,,,,,,,,Winner R16_5 vs Winner R16_6
QF1 [57],09/12/2022,22:00,KO,,,,,,,,,,,,,Winner R16_1 vs Winner R16_2
QF4 [60],10/12/2022,18:00,KO,,,,,,,,,,,,,Winner R16_7 vs Winner R16_8
QF3 [59],10/12/2022,22:00,KO,,,,,,,,,,,,,Winner R16_3 vs Winner R16_4
SF1 [61],13/12/2022,22:00,KO,,,,,,,,,,,,,Winner QF1 vs Winner QF2
SF2 [62],14/12/2022,22:00,KO,,,,,,,,,,,,,Winner QF3 vs Winner QF4
3RD [63],17/12/2022,18:00,KO,,,,,,,,,,,,,Loser SF1 vs Loser SF2
F,18/12/2022,18:00,KO,,,,,,,,,,,,,Winner SF1 vs Winner SF2
