MATCH_ID,DATE,TIME,STAGE,COMPLETED,WINNER_TEAM_ID,HOME_TEAM_ID,AWAY_TEAM_ID,HOME_GOALS,AWAY_GOALS,HOME_YELLOW_CARDS,AWAY_YELLOW_CARDS,HOME_OG,AWAY_OG,HOME_RED_CARDS,AWAY_RED_CARDS,NOTES
A1,20/07/2023,08:00,GROUP,Y,NZL,NZL,NOR,1,0,0,1,,,,,
B1,20/07/2023,11:00,GROUP,Y,AUS,AUS,IRL,1,0,0,1,,,,,
B2,21/07/2023,03:30,GROUP,Y,,NGA,CAN,0,0,1,2,,,1;Abiodun:90+8,,
A2,21/07/2023,06:00,GROUP,Y,CHE,PHL,CHE,0,2,1,2,,,,,
C1,21/07/2023,08:30,GROUP,Y,ESP,ESP,CRI,3,0,0,0,,1;del Campo:21,,,
E1,22/07/2023,02:00,GROUP,Y,USA,USA,VNM,3,0,1,1,,,,,
C2,22/07/2023,08:00,GROUP,Y,JPN,ZMB,JPN,0,5,2,0,,,1;Musanda:90+7,,
D1,22/07/2023,10:30,GROUP,Y,ENG,ENG,HTI,1,0,2,1,,,,,
D2,22/07/2023,13:00,GROUP,Y,DNK,DNK,CHN,1,0,1,0,,,,,
G1,23/07/2023,06:00,GROUP,Y,SWE,SWE,ZAF,2,1,0,2,,,,,
E2,23/07/2023,08:30,GROUP,Y,NLD,NLD,PRT,1,0,1,2,,,,,
F1,23/07/2023,11:00,GROUP,Y,,FRA,JAM,0,0,1,3,,,,1;Shaw:90+2,
G2,24/07/2023,07:00,GROUP,Y,ITA,ITA,ARG,1,0,2,4,,,,,
H1,24/07/2023,09:30,GROUP,Y,DEU,DEU,MAR,6,0,1,0,,2;Ait El Haj:54;M'Rabet:79,,,
F2,24/07/2023,12:00,GROUP,Y,BRA,BRA,PAN,4,0,0,0,,,,,
H2,25/07/2023,03:00,GROUP,Y,COL,COL,KOR,2,0,2,2,,,,,
A3,25/07/2023,06:30,GROUP,Y,PHL,NZL,PHL,0,1,1,1,,,,,
A4,25/07/2023,09:00,GROUP,Y,,CHE,NOR,0,0,0,0,,,,,
C3,26/07/2023,06:00,GROUP,Y,JPN,JPN,CRI,2,0,0,1,,,,,
C4,26/07/2023,08:30,GROUP,Y,ESP,ESP,ZMB,5,0,0,2,,,,,
B3,26/07/2023,13:00,GROUP,Y,CAN,CAN,IRL,2,1,2,1,,1;Connolly:45+5,,,
E3,27/07/2023,02:00,GROUP,Y,,USA,NLD,1,1,1,0,,,,,
E4,27/07/2023,08:30,GROUP,Y,PRT,PRT,VNM,2,0,1,0,,,,,
B4,27/07/2023,11:00,GROUP,Y,NGA,AUS,NGA,2,3,1,2,,,,,
G3,28/07/2023,01:00,GROUP,Y,,ARG,ZAF,2,2,1,2,,,,,
D3,28/07/2023,09:30,GROUP,Y,ENG,ENG,DNK,1,0,0,0,,,,,
D4,28/07/2023,12:00,GROUP,Y,CHN,CHN,HTI,1,0,0,1,,,1;Zhang:29,,
G4,29/07/2023,08:30,GROUP,Y,SWE,SWE,ITA,5,0,0,0,,,,,
F3,29/07/2023,11:00,GROUP,Y,FRA,FRA,BRA,2,1,3,1,,,,,
F4,29/07/2023,13:30,GROUP,Y,JAM,PAN,JAM,0,1,2,1,,,,,
H3,30/07/2023,05:30,GROUP,Y,MAR,KOR,MAR,0,1,0,1,,,,,
A5,30/07/2023,08:00,GROUP,Y,NOR,NOR,PHL,6,0,1,1,,1;Barker:48,,1;Harrison:67,
A6,30/07/2023,08:00,GROUP,Y,,CHE,NZL,0,0,0,0,,,,,
H4,30/07/2023,10:30,GROUP,Y,COL,DEU,COL,1,2,1,3,,,,,
C5,31/07/2023,08:00,GROUP,Y,ZMB,CRI,ZMB,1,3,3,2,,,,,
C6,31/07/2023,08:00,GROUP,Y,JPN,JPN,ESP,4,0,0,2,,,,,
B5,31/07/2023,11:00,GROUP,Y,,IRL,NGA,0,0,1,0,,,,,
B6,31/07/2023,11:00,GROUP,Y,AUS,CAN,AUS,0,4,0,2,,,,,
E5,01/08/2023,08:00,GROUP,Y,NLD,VNM,NLD,0,7,1,0,,,,,
E6,01/08/2023,08:00,GROUP,Y,,PRT,USA,0,0,3,3,,,,,
D5,01/08/2023,12:00,GROUP,Y,DNK,HTI,DNK,0,2,0,1,,,,,
D6,01/08/2023,12:00,GROUP,Y,ENG,CHN,ENG,1,6,0,1,,,,,
G5,02/08/2023,08:00,GROUP,Y,ZAF,ZAF,ITA,3,2,0,0,,1;Orsi:32,,,
G6,02/08/2023,08:00,GROUP,Y,SWE,ARG,SWE,0,2,1,1,,,,,
F5,02/08/2023,11:00,GROUP,Y,,JAM,BRA,0,0,1,0,,,,,
F6,02/08/2023,11:00,GROUP,Y,FRA,PAN,FRA,3,6,1,0,,,,,
H5,03/08/2023,11:00,GROUP,Y,,KOR,DEU,1,1,0,1,,,,,
H6,03/08/2023,11:00,GROUP,Y,MAR,MAR,COL,1,0,1,1,,,,,
