MATCH_ID,DATE,TIME,STAGE,COMPLETED,WINNER_TEAM_ID,HOME_TEAM_ID,AWAY_TEAM_ID,HOME_GOALS,AWAY_GOALS,HOME_YELLOW_CARDS,AWAY_YELLOW_CARDS,HOME_OG,AWAY_OG,HOME_RED_CARDS,AWAY_RED_CARDS,NOTES
A1,14/06/2024,20:00,GROUP,,,DEU,SCO,,,,,,,,,
A2,15/06/2024,14:00,GROUP,,,HUN,CHE,,,,,,,,,
B1,15/06/2024,17:00,GROUP,,,ESP,HRV,,,,,,,,,
B2,15/06/2024,20:00,GROUP,,,ITA,ALB,,,,,,,,,
D1,16/06/2024,14:00,GROUP,,,POL,NLD,,,,,,,,,
C1,16/06/2024,17:00,GROUP,,,SVN,DNK,,,,,,,,,
C2,16/06/2024,20:00,GROUP,,,SRB,ENG,,,,,,,,,
E1,17/06/2024,14:00,GROUP,,,ROU,UKR,,,,,,,,,
E2,17/06/2024,17:00,GROUP,,,BEL,SVK,,,,,,,,,
D2,17/06/2024,20:00,GROUP,,,AUT,FRA,,,,,,,,,
F1,18/06/2024,17:00,GROUP,,,TUR,GEO,,,,,,,,,
F2,18/06/2024,20:00,GROUP,,,PRT,CZE,,,,,,,,,
B3,19/06/2024,14:00,GROUP,,,HRV,ALB,,,,,,,,,
A3,19/06/2024,17:00,GROUP,,,DEU,HUN,,,,,,,,,
A4,19/06/2024,20:00,GROUP,,,SCO,CHE,,,,,,,,,
C3,20/06/2024,14:00,GROUP,,,SVN,SRB,,,,,,,,,
C4,20/06/2024,17:00,GROUP,,,DNK,ENG,,,,,,,,,
B4,20/06/2024,20:00,GROUP,,,ESP,ITA,,,,,,,,,
E3,21/06/2024,14:00,GROUP,,,SVK,UKR,,,,,,,,,
D3,21/06/2024,17:00,GROUP,,,POL,AUT,,,,,,,,,
D4,21/06/2024,20:00,GROUP,,,NLD,FRA,,,,,,,,,
F3,22/06/2024,14:00,GROUP,,,GEO,CZE,,,,,,,,,
F4,22/06/2024,17:00,GROUP,,,TUR,PRT,,,,,,,,,
E4,22/06/2024,20:00,GROUP,,,BEL,ROU,,,,,,,,,
A5,23/06/2024,20:00,GROUP,,,CHE,DEU,,,,,,,,,
A6,23/06/2024,20:00,GROUP,,,SCO,HUN,,,,,,,,,
B5,24/06/2024,20:00,GROUP,,,ALB,ESP,,,,,,,,,
B6,24/06/2024,20:00,GROUP,,,HRV,ITA,,,,,,,,,
D5,25/06/2024,17:00,GROUP,,,NLD,AUT,,,,,,,,,
D6,25/06/2024,17:00,GROUP,,,FRA,POL,,,,,,,,,
C5,25/06/2024,20:00,GROUP,,,ENG,SVN,,,,,,,,,
C6,25/06/2024,20:00,GROUP,,,DNK,SRB,,,,,,,,,
E5,26/06/2024,17:00,GROUP,,,SVK,ROU,,,,,,,,,
E6,26/06/2024,17:00,GROUP,,,UKR,BEL,,,,,,,,,
F5,26/06/2024,20:00,GROUP,,,GEO,PRT,,,,,,,,,
F6,26/06/2024,20:00,GROUP,,,CZE,TUR,,,,,,,,,
R16_1,29/06/2024,17:00,KO,,,,,,,,,,,,,Runner-up A vs Runner-up B
R16_2,29/06/2024,20:00,KO,,,,,,,,,,,,,Winner A vs Runner-up C
R16_3,30/06/2024,17:00,KO,,,,,,,,,,,,,Winner C vs Third D/E/F
R16_4,30/06/2024,20:00,KO,,,,,,,,,,,,,Winner B vs Third A/D/E/F
R16_5,01/07/2024,17:00,KO,,,,,,,,,,,,,Runner-up D vs Runner-up E
R16_6,01/07/2024,20:00,KO,,,,,,,,,,,,,Winner F vs Third A/B/C
R16_7,02/07/2024,17:00,KO,,,,,,,,,,,,,Winner E vs Third A/B/C/D
R16_8,02/07/2024,20:00,KO,,,,,,,,,,,,,Winner D vs Runner-up F
QF1,05/07/2024,17:00,KO,,,,,,,,,,,,,Winner R16_4 vs Winner R16_2
QF2,05/07/2024,20:00,KO,,,,,,,,,,,,,Winner R16_6 vs Winner R16_5
QF3,06/07/2024,17:00,KO,,,,,,,,,,,,,Winner R16_7 vs Winner R16_8
QF4,06/07/2024,20:00,KO,,,,,,,,,,,,,Winner R16_3 vs Winner R16_1
SF1,09/07/2024,20:00,KO,,,,,,,,,,,,,Winner QF1 vs Winner QF2
SF2,10/07/2024,20:00,KO,,,,,,,,,,,,,Winner QF3 vs Winner QF4 
F,14/07/2024,20:00,KO,,,,,,,,,,,,,Winner SF1 vs Winner SF2
