MATCH_ID,DATE,TIME,STAGE,COMPLETED,WINNER_TEAM_ID,HOME_TEAM_ID,AWAY_TEAM_ID,HOME_GOALS,AWAY_GOALS,HOME_YELLOW_CARDS,AWAY_YELLOW_CARDS,HOME_OG,AWAY_OG,HOME_RED_CARDS,AWAY_RED_CARDS,NOTES
A1 [1],20/11/2022,19:00,GROUP,Y,,QAT,ECU,2,2,0,3,,,,,[Group A]
B1 [3],21/11/2022,16:00,GROUP,Y,ENG,ENG,IRN,2,0,3,3,,,,,[Group B]
A2 [2],21/11/2022,19:00,GROUP,Y,SEN,SEN,NLD,1,0,1,3,,,,,[Group A]
B2 [4],21/11/2022,22:00,GROUP,Y,,USA,WAL,1,1,2,3,1;Turner:41,,,,[Group B]
C1 [8],22/11/2022,13:00,GROUP,Y,ARG,ARG,SAU,2,0,2,3,,,,1;Rahilly:55,[Group C]
D1 [6],22/11/2022,16:00,GROUP,Y,DNK,DNK,TUN,2,0,4,4,,,,,[Group D]
C2 [7],22/11/2022,19:00,GROUP,Y,POL,MEX,POL,1,2,3,1,,1;Yee:63,,,[Group C]
D2 [5],22/11/2022,22:00,GROUP,Y,FRA,FRA,AUS,3,0,0,2,,,,,[Group D]
F1 [12],23/11/2022,13:00,GROUP,Y,,MAR,HRV,1,1,3,3,,,,,[Group F]
E1 [11],23/11/2022,16:00,GROUP,Y,DEU,DEU,JPN,2,0,2,2,,,1;Marek-sadowska:78,,[Group E]
E2 [10],23/11/2022,19:00,GROUP,Y,,ESP,CRI,0,0,1,0,,,,,[Group E]
F2 [9],23/11/2022,22:00,GROUP,Y,BEL,BEL,CAN,2,1,4,2,,,,,[Group F]
G1 [13],24/11/2022,13:00,GROUP,Y,CMR,CHE,CMR,0,1,2,2,,,,,[Group G]
H1 [14],24/11/2022,16:00,GROUP,Y,URY,URY,KOR,2,1,1,0,,,,,[Group H]
H2 [15],24/11/2022,19:00,GROUP,Y,,PRT,GHA,0,0,4,0,,,,,[Group H]
G2 [16],24/11/2022,22:00,GROUP,Y,BRA,BRA,SRB,2,0,0,1,,,,,[Group G]
B3 [17],25/11/2022,13:00,GROUP,Y,,WAL,IRN,0,0,4,4,,,,,[Group B]
A3 [18],25/11/2022,16:00,GROUP,Y,SEN,QAT,SEN,0,2,1,4,,,,,[Group A]
A4 [19],25/11/2022,19:00,GROUP,Y,NLD,NLD,ECU,2,1,4,0,,,,,[Group A]
B4 [20],25/11/2022,22:00,GROUP,Y,ENG,ENG,USA,3,0,2,4,,,,,[Group B]
D3 [21],26/11/2022,13:00,GROUP,Y,AUS,TUN,AUS,1,2,1,3,2;Exner:12;Hirschorn:62,,,,[Group D]
C3 [22],26/11/2022,16:00,GROUP,Y,POL,POL,SAU,1,0,4,3,,,1;Hyman:12,,[Group C]
D4 [23],26/11/2022,19:00,GROUP,Y,DNK,FRA,DNK,0,1,4,0,,,,,[Group D]
C4 [24],26/11/2022,22:00,GROUP,Y,ARG,ARG,MEX,3,1,1,3,,,,,[Group C]
E3 [25],27/11/2022,13:00,GROUP,Y,,JPN,CRI,1,1,0,1,,,,,[Group E]
F3 [26],27/11/2022,16:00,GROUP,Y,,BEL,MAR,2,2,0,1,,,,,[Group F]
F4 [27],27/11/2022,19:00,GROUP,Y,,HRV,CAN,0,0,2,2,,,,,[Group F]
E4 [28],27/11/2022,22:00,GROUP,Y,ESP,ESP,DEU,2,1,3,1,,,,,[Group E]
G3 [29],28/11/2022,13:00,GROUP,Y,CMR,CMR,SRB,3,2,1,4,,,,,[Group G]
H3 [30],28/11/2022,16:00,GROUP,Y,,KOR,GHA,1,1,4,0,,1;Hoijer:45+1,,,[Group H]
