MATCH_ID,DATE,TIME,STAGE,COMPLETED,WINNER_TEAM_ID,HOME_TEAM_ID,AWAY_TEAM_ID,HOME_GOALS,AWAY_GOALS,HOME_YELLOW_CARDS,AWAY_YELLOW_CARDS,HOME_OG,AWAY_OG,HOME_RED_CARDS,AWAY_RED_CARDS,NOTES
A1,26/05/2018,14:00,GROUP,Y,STHFC,STHFC,PTFC,2,0,0,2,1;O'Brien:12,1;Thiessen:54,1;Prichard:22,0,hello world
A2,26/05/2018,19:45,GROUP,Y,,BPFC,HUFC,1,1,2,0,0,2;Friend:43;Jefferson:89,0,0,
B1,27/05/2018,15:00,GROUP,Y,DYFC,DTFC,DYFC,0,2,1,1,2;Johnson:11;Smith:34,0,1;Isome:25,1;Reid-Cunningham:56,
B2,27/05/2018,19:45,GROUP,Y,SJRFC,SJRFC,WTFC,2,0,0,2,1;Jones:7,1;Moriarty:21,0,0,
A3,28/05/2018,15:00,GROUP,Y,,BPFC,STHFC,1,1,2,0,0,2;Racoosin:33;Broadfoot:90+2,1;Sheahan:8,0,
A4,28/05/2018,19:45,GROUP,Y,PTFC,HUFC,PTFC,0,2,1,1,2;Kenny:65;Jensen:80,0,0,1;Pesarin:22,
B3,29/05/2018,15:00,GROUP,Y,DTFC,DTFC,SJRFC,2,0,0,2,1;Scott:45+4,1;Fillios:89,1;Neilson:67,0,
B4,29/05/2018,19:45,GROUP,Y,,DYFC,WTFC,1,1,2,0,0,2;Landenna:20;Dongoski:24,0,0,
A5,30/05/2018,15:00,GROUP,Y,PTFC,BPFC,PTFC,0,2,1,1,2;Peterson:9;Williamson:33,0,1;Wacquant:11,1;Sewall:32,
A6,30/05/2018,15:00,GROUP,Y,HUFC,HUFC,STHFC,2,0,0,2,1;McCartney:12,1;Margaitis:59,0,0,
B5,31/05/2018,15:00,GROUP,Y,,DTFC,WTFC,1,1,2,0,0,2;Daboni:76;T.Wegman:77,1;Bhide:55,0,
B6,31/05/2018,15:00,GROUP,Y,SJRFC,DYFC,SJRFC,0,2,1,1,2;Lennon:1;Starr:46,0,0,2;Glover:44;Litwin:23,
SF1,01/06/2018,15:00,KO,Y,PTFC,PTFC,DTFC,2,0,0,2,1;Harrison:7,1;Bickmore:41,1;St.Martin:13,1;Kinnaman:77,
SF2,01/06/2018,15:00,KO,,,DYFC,BPFC,1,1,2,0,0,2;Lomeli:67;Prichard:89,0,0,
F,02/06/2018,15:00,KO,,,PTFC,,,,,,,,,,
